Age,EstimatedSalary,Purchased
58,109599,1
48,92355,0
34,111248,1
27,44762,1
40,31046,0
58,116999,0
38,144130,1
42,136021,0
30,48769,0
30,73302,0
43,43150,0
55,88247,1
59,24853,1
43,114613,0
22,140900,0
41,109399,0
21,41792,0
43,79129,1
49,126019,1
57,94478,0
21,133811,0
40,134130,0
52,87298,1
31,51987,0
41,35850,1
44,32112,0
46,141789,1
47,44058,0
35,65420,1
34,58890,0
22,86017,0
56,67304,0
26,52921,1
40,125921,0
28,21524,1
58,120424,1
37,35048,0
23,55111,0
44,57904,0
33,74912,1
28,54008,0
45,20060,1
21,94666,1
39,103559,0
47,75337,0
26,130616,0
27,33350,0
54,44354,0
33,65186,0
36,48145,1
55,54020,1
59,106123,1
23,126667,0
21,95186,1
25,105469,1
23,40581,1
48,108929,1
37,43051,1
45,71474,0
53,111748,0
29,145995,1
55,134618,1
33,89626,1
50,26960,0
34,55772,0
27,41520,1
33,69481,0
42,56408,0
59,114006,1
40,148496,0
35,77134,0
37,40491,1
43,21341,0
45,64623,0
44,110327,1
48,20338,0
34,91431,0
20,32254,1
44,71860,1
26,31344,1
28,21750,0
43,74756,1
20,87957,0
27,125423,1
43,78053,0
30,90855,1
36,35896,1
27,75761,1
54,82552,1
54,140075,0
52,97454,1
24,146522,1
58,138681,0
47,110600,1
26,142732,0
28,132153,1
27,142926,1
31,47935,1
53,57641,0
52,49711,1
42,90342,1
43,126896,1
56,32182,0
54,107833,0
59,76276,1
41,39541,0
46,114457,1
54,102310,1
20,64813,1
54,57198,1
56,28820,1
33,44070,1
22,89768,1
20,31122,0
24,100559,0
45,93543,0
33,103441,0
58,61786,0
46,114934,0
28,119804,0
34,26737,1
34,56062,1
45,74237,1
32,71571,1
51,45510,0
58,39426,0
51,57265,1
23,37850,1
49,138249,0
56,86150,1
42,107312,1
58,109613,1
34,94910,1
48,72375,0
55,141826,1
32,55435,1
51,116443,0
26,77132,0
41,98945,1
47,102050,0
21,149828,1
25,115402,1
47,22983,0
47,117241,1
39,40662,1
49,43510,1
30,98187,1
47,60998,0
44,76846,0
58,114071,1
52,26640,0
20,64547,1
46,74620,1
32,35317,1
22,135608,1
58,27564,1
25,47345,0
27,133824,1
46,114223,0
28,143372,0
56,99273,1
52,94859,1
43,100765,1
34,130017,1
51,94038,1
51,143618,0
43,72393,1
31,86081,1
58,145341,0
21,122650,0
22,49430,1
56,95532,0
36,47788,1
21,115505,0
21,68543,0
47,33919,1
42,89346,0
56,116122,0
51,59974,0
52,127309,0
20,36371,0
38,65084,0
21,49629,1
45,71184,1
51,81916,0
25,147293,1
51,93972,1
23,82187,1
30,32984,0
36,53039,1
57,105431,0
43,103691,1
24,78606,0
53,30616,0
25,122665,1
41,125373,1
30,70072,0
35,44574,1
52,23430,1
28,139123,1
25,32676,0
35,30816,0
48,52733,1
22,105680,1
39,22050,1
55,129996,0
38,53933,0
45,44951,1
22,52413,1
38,54801,1
39,75619,1
51,52913,1
26,132573,1
52,139076,0
59,60600,1
58,77775,0
37,110816,1
59,149972,1
20,110093,0
30,132590,0
47,55400,0
44,24494,0
42,100688,1
50,142744,0
49,109431,1
54,94691,0
26,117419,1
35,128730,1
45,63001,1
21,87364,1
20,144988,1
31,65028,1
24,127434,0
56,117659,1
51,57573,0
28,20806,0
54,144343,1
38,76638,0
35,148301,1
22,146295,0
39,126506,1
43,49757,0
52,54636,1
43,100097,1
30,68280,1
27,44262,1
55,100435,0
57,82211,1
59,74842,0
39,148583,0
54,76979,0
44,134524,1
54,101470,0
44,58197,0
48,61844,0
37,84754,1
37,121868,1
21,54157,0
54,97129,1
35,60042,1
55,81665,0
52,135512,0
23,136953,1
52,102856,0
33,47376,1
40,129049,1
39,75554,1
27,34199,1
26,138533,1
22,101412,1
36,70948,0
52,93781,0
31,92750,1
41,86262,1
41,137424,1
49,66600,0
57,96898,1
57,82483,0
27,38297,1
46,50448,1
46,46172,0
53,62874,0
40,27657,1
49,104386,1
52,145617,1
47,45425,0
52,46685,0
24,142000,0
38,132855,0
23,44578,0
54,48831,0
36,27906,1
47,81413,1
49,74028,0
48,27287,1
25,53660,1
54,95758,0
56,80504,1
43,79720,0
48,122979,0
50,54701,1
54,103300,0
52,130177,0
40,37674,0
51,103560,0
42,131543,0
52,43874,0
22,63642,0
37,143867,0
44,117820,1
50,85160,1
22,37602,1
59,123320,0
43,108801,0
51,45931,1
41,114377,1
42,49192,1
21,66542,0
46,147015,1
21,62520,1
45,84772,0
36,78762,1
59,70106,0
52,101121,0
28,45559,0
58,125595,1
48,53742,1
45,89669,0
54,100199,1
44,41754,1
43,23972,1
32,90831,1
26,132217,0
55,61873,1
39,114661,0
20,126532,0
27,146267,1
35,29903,0
33,23020,1
31,61755,1
42,105956,0
34,106988,0
47,65648,0
53,123537,0
21,145991,1
51,29516,1
