Age,EstimatedSalary,Purchased
58,146413,0
48,64327,0
34,88904,0
27,23797,0
40,67882,0
58,33718,1
38,54560,1
42,96589,1
30,42116,1
30,56244,1
43,121721,1
55,21645,1
59,67523,0
43,144085,0
22,137718,0
41,39256,0
21,121376,1
43,120158,1
49,73173,1
57,57430,0
21,59282,1
40,139719,1
52,83374,1
31,88244,0
41,31694,1
44,76264,0
46,95060,0
47,117416,0
35,77545,0
34,138195,1
22,59224,0
56,122516,0
26,117945,1
40,33224,1
28,60738,0
58,45150,1
37,83731,0
23,69688,0
44,119929,0
33,128618,0
28,93509,1
45,28577,0
21,28070,1
39,146161,1
47,28666,1
26,77761,1
27,141178,0
54,56368,1
33,26783,0
36,131530,1
55,61914,1
59,90507,0
23,147738,0
21,99026,0
25,135893,1
23,131255,1
48,130616,0
37,87526,0
45,90835,0
53,65765,0
29,39956,1
55,107895,0
33,66240,0
50,141008,0
34,57148,0
27,114270,1
33,147978,0
42,24757,1
59,39097,0
40,30395,0
35,36241,1
37,123892,0
43,47696,1
45,135654,1
44,90480,0
48,66163,1
34,39816,1
20,69840,1
44,122547,1
26,72853,1
28,44917,1
43,116731,1
20,41566,1
27,95452,0
43,82823,0
30,141392,1
36,40806,0
27,95520,1
54,21759,1
54,146092,0
52,61949,1
24,112374,1
58,22482,1
47,44442,1
26,53719,0
28,78066,1
27,113501,1
31,22079,1
53,22717,0
52,79676,1
42,47952,0
43,106444,0
56,62460,1
54,110397,1
59,92847,0
41,113607,1
46,109106,0
54,38449,0
20,53536,1
54,84077,1
56,58258,0
33,68302,0
22,145937,0
20,48865,0
24,26645,1
45,139771,1
33,58000,1
58,46737,1
46,31485,1
28,58565,0
34,45522,1
34,139614,1
45,85155,1
32,75168,1
51,72487,1
58,149948,0
51,32342,0
23,60806,0
49,68770,1
56,98623,0
42,123177,0
58,119785,1
34,95629,1
48,140993,1
55,72603,0
32,146944,0
51,132726,1
26,101974,1
41,125947,0
47,46399,0
21,148177,1
25,105382,1
47,101244,0
47,129575,1
39,135520,0
49,130904,0
30,96534,0
47,75106,0
44,132599,1
58,50678,1
52,96218,0
20,83230,0
46,134684,0
32,94055,0
22,76373,0
58,51480,1
25,105230,1
27,88836,1
46,92258,1
28,59986,0
56,44160,0
52,105595,0
43,121358,0
34,99111,0
51,84929,1
51,93506,0
43,54911,1
31,107127,1
58,51821,1
21,95039,1
22,80535,0
56,133453,1
36,104458,1
21,32175,1
21,139235,0
47,74771,0
42,126660,0
56,147157,1
51,141300,1
52,106925,0
20,133374,1
38,86358,0
21,37327,0
45,67057,1
51,26150,1
25,24425,1
51,143654,1
23,36032,0
30,22198,0
36,80500,0
57,73394,0
43,40079,0
24,56220,1
53,61874,0
25,33859,0
41,70460,0
30,51419,1
35,138865,1
52,28705,1
28,62880,1
25,149838,0
35,43236,0
48,107955,1
22,105514,1
39,123145,0
55,35358,0
38,119713,1
45,114914,1
22,122870,1
38,96918,1
39,139179,0
51,136243,0
26,34596,0
52,53572,1
59,98757,1
58,21279,0
37,83197,0
59,131496,0
20,82516,0
30,27083,1
47,140674,0
44,140307,0
42,146457,0
50,129397,0
49,37771,0
54,49975,0
26,65648,0
35,145641,1
45,68285,1
21,39063,1
20,87642,1
31,110093,0
24,134390,1
56,106143,1
51,57599,0
28,71920,0
54,48529,1
38,55954,1
35,47856,0
22,22573,1
39,98344,0
43,55367,0
52,122337,0
43,126732,0
30,119608,1
27,80774,0
55,43752,0
57,75029,1
59,37685,0
39,71693,1
54,136739,1
44,75961,1
54,126937,0
44,144956,1
48,96908,1
37,145537,0
37,146678,1
21,94532,1
54,101994,1
35,76133,1
55,117425,1
52,145055,0
23,81268,1
52,112201,1
33,58243,0
40,77384,0
39,51653,0
27,46657,1
26,59952,0
22,42180,1
36,117432,1
52,141829,0
31,148377,0
41,98411,1
41,21622,0
49,68756,1
57,60809,0
57,36725,0
27,81396,0
46,71226,1
46,126296,0
53,101182,1
40,102565,1
49,49402,1
52,24263,1
