Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,female,30.3,1,0,95.8961,S
1,2,female,18,1,1,69.2931,C
0,2,female,37.9,2,1,50.8395,C
0,2,female,34.3,1,0,51.8374,C
0,2,female,19,2,2,12.912,C
1,2,female,23.2,3,1,13.7119,Q
0,2,female,38.9,0,1,62.2319,S
0,3,male,36.1,0,1,57.6018,S
0,3,female,22.8,3,0,25.2092,Q
1,2,female,27.3,0,1,94.8885,S
0,3,male,28.6,3,2,79.2231,C
0,1,female,36.2,3,1,15.7791,S
0,2,male,42.5,3,1,93.4383,C
0,1,male,30.7,0,2,97.5536,Q
1,1,female,41.7,2,1,99.6135,S
0,2,male,38.7,3,0,10.3078,Q
1,3,male,32.1,1,0,75.0184,S
1,1,male,15.6,0,0,56.862,C
1,2,male,19.7,3,2,72.054,Q
0,1,female,37.4,3,1,97.0219,S
1,1,male,12.9,1,0,70.3629,C
0,1,female,31.2,2,2,84.5116,Q
1,1,male,40,2,1,87.3525,Q
1,3,male,31.5,2,2,84.6557,S
1,1,male,24,3,0,45.4787,S
1,1,male,21.5,3,0,26.1448,S
1,1,female,38.2,3,0,42.6819,C
1,3,female,34.7,0,2,89.7302,S
1,1,male,27.1,1,2,18.9275,Q
1,1,male,40.7,3,0,53.766,Q
0,3,female,38.5,1,2,27.1567,S
0,3,male,47.9,1,0,60.224,S
1,3,male,35.7,2,0,86.9982,Q
1,1,male,28.4,0,1,88.6342,C
1,3,female,,3,2,27.4851,S
0,3,female,10.7,2,0,91.2309,S
1,1,female,,2,0,61.2294,
0,3,male,29.8,3,2,38.2707,S
0,1,male,16.7,1,1,72.2772,C
0,2,female,29.7,2,1,50.7584,Q
0,3,female,43.4,1,0,40.9088,S
0,2,female,22.7,0,2,71.983,Q
1,1,female,20.4,1,1,28.6288,
1,3,male,41,0,2,36.374,S
1,1,female,,1,2,46.2729,S
1,2,male,60.6,2,0,29.0998,C
1,1,female,16.8,2,1,43.4942,C
0,3,male,37.2,0,0,59.2899,Q
1,3,female,,3,1,75.3925,S
1,2,female,30.6,0,1,77.8835,S
0,1,female,39.1,0,1,83.1651,C
1,3,female,29.7,1,1,75.7001,S
0,2,male,10.6,1,1,69.6987,
1,3,female,21.5,0,2,27.5631,S
0,3,male,43.6,2,0,43.0212,Q
1,1,male,41.7,1,2,50.3829,S
1,3,male,,3,1,12.8747,
0,1,male,35,1,0,55.1952,C
0,3,female,57.8,1,1,46.4519,S
0,2,male,29.7,3,0,81.2004,S
0,3,male,29.9,0,2,97.9006,C
0,1,male,31.9,3,0,57.8205,Q
0,1,female,36.1,0,0,35.6552,
0,2,female,,0,0,9.1231,C
0,3,female,36.1,0,0,92.8411,C
1,3,female,10.6,3,0,92.316,C
1,2,male,33.4,0,1,29.0341,C
0,3,male,30.5,2,0,71.0641,C
1,3,female,27.8,3,0,12.1663,Q
1,1,male,,2,2,20.7905,Q
1,3,male,23.9,0,0,25.5969,
1,3,male,21.9,1,2,32.9769,S
0,2,female,,0,1,99.604,C
1,2,female,27.3,2,0,71.2079,S
0,1,male,41,2,2,41.4992,C
1,3,female,26.6,3,2,75.0246,C
1,3,female,36.4,1,1,91.9492,Q
1,3,female,19.2,3,0,96.0767,S
0,1,female,16.9,2,0,10.4971,S
1,1,female,22.5,0,2,42.4796,Q
0,2,male,19.7,1,0,15.1418,Q
1,1,female,18.2,0,2,36.8877,Q
0,3,male,34.5,0,0,21.1196,Q
1,3,male,47.8,1,2,66.4506,S
0,1,female,23.3,3,0,41.8855,S
0,3,male,13.1,0,1,26.7925,C
1,3,male,36.6,2,0,30.2641,C
0,1,male,15.6,0,0,39.2328,Q
1,1,female,18.2,1,1,29.6952,Q
1,3,female,,1,0,48.0579,Q
1,3,male,28.3,1,1,8.07,C
1,3,female,23.1,3,0,31.5775,C
1,2,female,30.7,0,2,44.0646,C
1,2,female,25.9,3,2,62.2643,C
1,2,female,48.9,3,0,30.741,C
1,1,male,23.2,1,0,17.6526,C
1,2,male,20.9,1,0,12.239,C
1,1,female,25.4,3,2,94.3505,Q
1,1,female,,0,0,44.5807,Q
0,2,male,36,2,2,60.2104,Q
