Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3.0,female,,0.0,2.0,67.36800504193357,S
1,3.0,male,56.00149345358052,1.0,5.0,68.66639389433406,S
0,3.0,female,17.279828615036845,0.0,1.0,136.22801375680405,Q
0,3.0,female,35.85714385824563,,1.0,108.50754597763117,S
0,3.0,,6.135062326962191,0.0,1.0,80.15771472689563,C
1,,female,66.1993637914156,,,34.07250490209974,C
0,3.0,female,10.949310642752545,4.0,0.0,9.317136773718453,C
0,3.0,female,72.34470305689547,,3.0,47.67276212960006,Q
0,1.0,male,69.27421757866301,3.0,2.0,25.956923773892846,S
1,1.0,male,37.70203839070044,1.0,3.0,158.16178101618667,S
0,1.0,male,59.80508814001526,2.0,1.0,,S
0,1.0,female,49.93616083163411,5.0,3.0,146.22450627483306,C
0,1.0,male,64.44297574468185,2.0,0.0,80.20344450633611,C
0,1.0,female,35.11260296208705,2.0,4.0,19.308786000036314,C
1,3.0,male,63.07887025530365,0.0,,163.48235963915923,Q
0,3.0,,37.53408854814669,2.0,2.0,118.0279611961396,Q
1,2.0,female,75.33629723958072,1.0,2.0,50.973495008396746,C
1,3.0,,39.42339596518666,5.0,3.0,179.46282899487025,Q
1,3.0,male,37.546922482764636,4.0,2.0,13.825371204757534,Q
0,1.0,male,63.0206770635175,2.0,5.0,44.35482359856377,Q
1,1.0,male,65.90463764910619,,0.0,151.6491509221429,S
0,3.0,,44.80464003137249,0.0,1.0,143.3286964104284,Q
1,,female,,0.0,1.0,61.407980276273214,C
1,1.0,male,37.952900245648785,,3.0,17.094850693792708,S
1,3.0,,77.4777277298646,4.0,1.0,172.32522408386404,Q
1,3.0,female,60.485909250095624,1.0,3.0,66.171039423631,C
1,2.0,male,65.08184570645145,,2.0,43.16411591101172,Q
1,2.0,female,3.5932144067199703,4.0,2.0,105.63205536039054,
1,1.0,male,37.96089754809863,0.0,5.0,182.49430386007722,C
1,2.0,female,52.083069558946875,,5.0,13.491582679458192,
0,,female,66.5725820066179,5.0,0.0,154.3317971660231,Q
0,3.0,male,,4.0,1.0,116.63227944804824,S
1,2.0,female,,1.0,5.0,87.9625777276043,Q
1,2.0,female,44.32367400261102,2.0,0.0,150.09568660048672,C
1,2.0,male,16.587803675508734,0.0,4.0,193.3357627661183,S
0,2.0,,26.063162099526302,5.0,5.0,49.69521117672475,C
1,1.0,female,23.2724345883733,0.0,0.0,33.011236189063325,C
0,2.0,male,,0.0,3.0,,Q
0,1.0,,5.083168712979414,3.0,3.0,135.4458501041742,C
0,3.0,female,13.524356521493958,,0.0,90.40727420458336,Q
0,2.0,female,,2.0,2.0,116.7856162015352,C
