cgpa,placement_exam_marks,placed
6.87,11.1,1
9.75,32.5,0
8.66,52.4,0
7.99,43.9,0
5.78,48.4,1
5.78,39.5,1
5.29,41.5,1
9.33,51.0,1
8.01,15.0,1
8.54,29.4,1
5.1,13.3,1
9.85,59.3,0
9.16,56.6,1
6.06,2.4,0
5.91,42.3,0
5.92,55.5,1
6.52,10.8,1
7.62,34.1,0
7.16,54.9,0
6.46,2.0,1
8.06,41.8,1
5.7,17.8,0
6.46,55.5,1
6.83,58.3,1
7.28,56.7,1
8.93,28.5,0
6.0,51.7,0
7.57,50.7,0
7.96,19.1,1
5.23,49.7,1
8.04,2.2,0
5.85,35.8,0
5.33,13.8,0
9.74,7.2,1
9.83,4.6,0
9.04,41.8,0
6.52,20.4,1
5.49,43.5,1
8.42,3.9,1
7.2,18.9,0
5.61,32.4,1
7.48,47.4,1
5.17,19.1,0
9.55,37.6,1
6.29,53.2,0
8.31,37.0,0
6.56,14.0,1
7.6,1.5,1
7.73,52.2,1
5.92,1.3,1
9.85,52.5,1
8.88,31.7,1
9.7,56.3,0
9.47,47.9,0
7.99,59.9,1
9.61,21.0,0
5.44,46.0,1
5.98,24.1,0
5.23,28.8,0
6.63,37.7,0
6.94,52.4,1
6.36,59.0,0
9.14,46.1,1
6.78,25.1,0
6.4,25.3,0
7.71,44.3,0
5.7,14.3,0
9.01,6.6,0
5.37,21.3,1
9.93,17.2,1
8.86,17.8,0
5.99,14.0,0
5.03,2.5,0
9.08,1.1,0
8.53,59.3,1
8.65,25.7,0
8.86,23.1,1
5.37,40.8,0
6.79,13.1,1
5.58,57.0,0
9.32,47.2,0
8.12,5.4,1
6.65,25.1,0
5.32,52.7,0
6.55,56.7,0
6.63,28.0,1
8.65,36.8,0
8.19,10.0,0
9.44,59.5,1
7.36,13.9,1
5.6,56.6,1
8.57,39.0,0
8.8,36.5,0
7.81,30.8,0
8.85,13.8,1
7.47,10.6,0
7.61,13.2,0
7.14,11.2,1
5.13,46.8,1
5.54,21.0,1
5.16,3.5,1
8.18,58.1,1
6.57,53.0,0
7.54,55.7,1
9.54,59.7,0
6.25,10.4,0
7.05,23.8,1
8.78,45.5,1
6.14,41.8,1
5.38,9.2,0
6.45,48.9,1
5.81,13.5,1
9.65,13.4,1
9.04,32.2,1
8.17,35.6,1
9.36,34.8,0
9.02,5.5,0
5.93,52.6,0
9.46,15.9,1
7.7,7.8,1
9.04,53.3,1
9.48,57.3,0
6.59,51.7,1
5.55,48.6,1
6.14,39.3,1
7.14,33.1,0
9.09,5.2,1
9.3,24.5,0
5.03,22.4,1
7.55,15.6,0
7.09,43.4,0
6.11,29.8,0
5.6,4.9,1
6.69,13.2,1
9.71,41.0,0
6.62,4.6,0
7.59,51.1,1
8.52,29.7,1
6.82,28.8,0
9.86,35.5,1
9.81,49.5,1
6.26,20.9,1
7.49,40.7,1
6.5,33.9,0
6.42,16.0,1
5.18,52.7,1
8.05,47.8,0
7.51,39.5,0
5.26,51.0,1
6.39,52.0,1
9.54,42.5,1
6.2,50.2,1
5.72,41.8,0
7.45,40.8,0
9.93,37.1,0
6.21,45.2,1
8.36,9.5,1
8.81,52.9,1
6.19,52.3,1
8.64,1.8,0
6.84,49.5,0
8.16,7.7,1
8.17,20.1,0
7.68,44.6,1
5.45,9.6,1
9.18,49.1,0
6.6,49.9,1
5.93,30.4,1
5.2,0.4,0
7.95,17.2,1
8.39,37.0,1
5.08,58.9,0
7.56,37.9,1
6.13,15.6,0
8.23,38.0,1
5.87,32.4,0
8.45,46.8,0
6.93,6.4,0
9.68,45.7,1
5.69,32.5,0
6.71,57.8,0
5.57,20.5,0
9.62,38.0,0
9.39,55.9,0
6.29,6.2,1
8.3,56.2,1
9.09,41.3,1
7.78,4.1,1
7.65,18.1,1
6.21,42.5,1
5.47,4.0,1
9.49,34.9,0
9.5,20.8,1
8.17,37.3,0
6.7,2.7,0
6.75,52.3,1
8.63,58.4,0
9.49,58.1,0
9.44,45.0,0
8.9,7.8,0
8.21,45.5,1
5.42,1.5,1
5.81,1.3,1
9.49,19.4,1
8.03,29.3,1
5.05,46.2,1
5.51,41.0,1
8.32,26.8,1
5.03,16.4,1
5.8,59.8,1
7.74,25.6,0
8.46,27.1,1
8.26,9.8,0
6.12,47.7,0
8.56,41.6,0
6.19,13.2,0
6.63,4.9,1
8.73,40.8,0
8.25,39.3,1
9.25,16.4,1
8.29,57.1,0
7.84,9.1,1
5.47,25.9,0
6.84,56.6,0
6.33,25.2,1
6.22,38.3,1
9.87,23.9,0
6.97,16.5,1
9.46,59.0,1
8.16,24.6,1
8.97,53.6,0
7.51,13.8,0
7.88,12.8,1
7.46,1.9,1
5.98,39.1,1
8.61,22.1,1
6.4,51.9,1
5.12,28.4,0
8.23,58.1,1
5.89,11.1,0
9.7,52.1,1
9.77,46.6,0
9.57,46.3,1
6.85,50.7,0
5.08,45.7,1
9.64,37.6,0
7.14,7.9,0
9.83,2.0,0
9.82,55.3,0
9.27,37.0,0
6.47,47.8,0
6.93,28.9,1
9.26,7.0,0
6.58,7.5,1
5.85,41.1,1
7.78,25.8,1
9.68,12.0,1
8.48,29.5,1
7.85,3.9,0
5.49,34.9,0
8.08,16.1,0
9.95,47.9,1
5.7,18.6,0
7.59,27.3,0
9.39,0.7,0
8.7,4.3,0
8.49,23.5,0
8.51,28.8,1
6.8,36.0,0
6.47,17.5,1
9.05,41.7,1
9.05,51.6,1
9.34,46.8,1
9.57,2.4,1
7.56,28.8,0
7.51,6.3,0
8.99,14.5,0
8.25,59.2,1
8.51,8.5,0
8.98,29.9,0
9.45,37.1,1
6.69,42.1,1
6.88,33.6,1
5.47,0.6,1
7.89,19.6,0
5.18,31.1,1
7.33,5.3,1
7.71,21.0,0
6.43,2.0,0
7.95,4.7,1
5.15,23.8,0
5.19,8.0,1
9.11,34.1,1
6.8,41.4,0
5.64,48.0,0
7.61,12.0,1
8.85,10.0,1
6.08,6.3,1
8.11,38.2,0
5.43,42.4,1
5.26,1.9,1
7.66,56.2,1
7.7,3.1,1
8.19,32.5,1
8.63,42.5,0
9.88,52.3,1
7.58,42.8,1
6.61,48.1,1
8.98,20.4,1
6.35,48.9,0
7.19,4.8,0
5.39,53.7,0
5.13,32.9,1
9.81,49.0,1
9.18,27.1,0
8.48,38.6,0
7.04,31.6,0
5.87,43.9,1
5.78,4.9,1
6.25,3.6,0
7.75,14.8,0
8.57,9.6,0
8.3,52.3,1
6.4,13.2,1
9.77,58.6,1
8.69,20.2,0
7.77,10.9,0
8.06,47.4,1
7.1,39.5,0
6.24,29.9,1
6.78,33.3,0
8.79,43.2,0
5.07,13.7,0
5.58,59.8,0
5.23,58.5,1
5.2,39.0,0
9.28,12.0,1
8.52,40.8,1
7.37,4.3,1
5.49,1.8,0
7.46,15.5,1
7.37,27.8,1
5.87,52.1,1
7.17,43.6,0
6.99,44.6,0
8.08,25.5,1
8.18,20.8,0
5.23,22.3,1
6.87,59.3,1
8.13,2.4,0
7.52,52.0,1
9.28,34.7,0
8.29,26.3,0
5.81,43.5,1
5.35,29.2,0
8.21,52.4,0
5.13,54.0,1
7.93,25.3,1
9.7,16.6,0
7.88,35.5,0
6.94,54.7,1
8.22,12.6,0
7.29,37.4,0
7.73,37.9,0
9.71,44.0,0
6.93,7.9,0
9.81,42.9,0
9.53,54.5,0
5.98,10.8,1
5.35,14.3,1
5.5,58.3,1
5.09,10.9,1
5.47,51.3,1
8.42,29.5,0
5.36,14.8,0
6.59,52.2,0
9.22,26.7,0
5.12,30.9,1
9.07,21.6,0
6.41,35.6,0
5.59,9.8,1
8.48,23.5,0
8.14,58.2,0
9.39,15.5,1
8.68,39.4,0
9.02,19.5,0
6.41,46.4,0
5.89,7.9,0
8.75,58.2,0
9.03,27.2,1
9.95,14.2,1
7.06,4.4,1
6.86,10.2,1
8.88,31.2,1
6.7,20.2,1
9.65,49.7,0
9.29,25.9,1
7.14,14.9,1
8.75,37.0,0
8.77,42.4,0
5.52,10.0,1
9.51,10.1,0
7.53,2.2,1
9.13,44.2,0
6.6,39.8,1
9.48,28.5,0
6.95,50.7,0
5.05,48.3,1
9.53,35.1,1
5.46,52.1,1
6.6,12.4,1
9.75,6.7,1
9.75,16.2,0
7.87,3.4,1
8.16,31.9,1
7.24,56.2,0
6.47,2.4,0
6.64,7.3,1
8.36,27.1,0
8.76,56.0,0
8.96,19.0,1
8.95,30.4,0
5.46,2.5,0
7.47,8.9,1
5.29,59.2,1
7.75,57.9,0
7.21,0.3,0
9.44,57.1,1
6.75,38.3,0
5.59,52.1,0
5.71,27.3,0
8.81,30.9,1
8.09,29.3,0
5.51,40.0,0
5.42,8.4,1
8.5,1.8,0
5.36,18.5,0
9.11,42.3,1
8.53,12.1,1
5.41,40.4,1
5.42,58.2,1
9.93,5.6,0
6.87,40.4,0
6.85,26.6,1
9.06,52.1,1
9.74,10.6,0
9.93,41.6,1
8.77,50.3,0
6.88,56.7,1
5.42,41.0,0
8.89,29.8,1
7.79,37.1,1
7.12,52.1,0
9.53,34.2,1
5.56,1.8,0
7.46,55.9,0
5.06,41.4,0
7.34,40.6,0
5.28,12.9,0
5.59,39.5,1
5.59,23.6,1
8.25,39.1,0
8.73,6.4,1
7.92,39.5,0
9.81,60.0,1
6.87,2.9,1
6.43,58.6,1
9.34,24.4,1
6.12,52.2,0
9.82,46.9,0
5.06,34.0,1
9.85,44.3,1
5.22,52.7,0
9.46,24.2,1
7.64,19.6,0
9.96,40.1,0
5.37,48.5,0
7.77,45.7,1
9.85,47.9,0
7.62,26.1,1
8.15,49.1,0
8.48,7.2,1
7.27,32.7,1
8.14,0.3,1
7.92,19.5,0
9.51,22.0,0
5.23,23.8,1
6.4,41.7,1
9.75,23.3,1
9.45,26.9,0
7.28,14.3,0
8.1,22.4,0
6.39,13.6,0
5.94,4.4,1
7.32,36.2,1
6.77,40.1,0
7.92,37.2,0
5.39,27.8,1
9.87,22.8,0
9.93,51.8,0
8.49,31.1,0
7.68,28.8,0
6.55,1.5,0
9.07,20.5,0
8.42,22.8,1
5.81,23.9,0
9.55,34.8,0
9.11,32.0,1
9.75,36.5,1
8.63,45.9,1
8.07,48.8,0
7.09,43.1,1
9.66,57.3,0
9.33,1.1,0
5.23,11.7,0
5.13,0.5,1
6.88,38.8,1
9.05,53.9,1
9.94,14.6,1
5.75,55.6,1
7.97,3.6,0
6.9,56.1,0
9.85,21.1,0
9.21,6.1,0
9.19,29.2,1
7.34,15.4,1
7.07,17.1,0
6.37,18.4,1
5.28,48.2,1
9.32,32.3,0
9.06,18.7,0
10.0,36.6,1
9.98,43.0,1
7.78,16.4,0
8.84,24.8,0
9.72,7.3,0
9.25,10.9,1
6.24,40.9,0
7.25,10.9,0
5.65,31.5,1
9.77,42.5,1
8.03,6.4,1
6.14,34.0,1
8.36,15.4,1
8.09,57.8,0
6.79,29.0,0
5.57,48.4,1
8.36,33.0,1
7.6,2.6,1
8.86,38.0,1
7.6,57.1,1
9.26,36.1,0
7.76,49.2,0
7.8,53.1,0
9.38,13.7,0
7.02,12.7,1
5.67,36.7,0
5.14,24.7,1
8.78,50.4,1
8.1,54.0,1
8.52,21.2,0
6.06,14.2,1
5.68,46.8,0
5.07,16.5,0
6.75,49.4,1
7.95,25.4,1
6.96,40.1,1
7.19,5.7,0
9.52,37.4,1
6.74,27.1,0
7.57,35.2,1
8.92,10.1,1
6.98,44.2,0
8.11,51.8,0
9.31,13.0,0
9.75,5.7,0
5.74,1.4,0
9.63,38.5,0
7.46,36.4,1
6.29,32.8,1
7.3,13.9,0
9.9,23.5,1
7.46,35.7,0
6.64,29.8,1
8.17,59.3,1
6.2,8.2,0
5.38,41.7,0
5.64,24.3,0
5.64,25.7,1
5.76,43.1,0
5.69,41.5,1
8.2,59.5,0
5.91,7.7,1
6.73,6.2,1
9.48,43.5,0
7.37,34.7,1
8.34,16.4,1
5.86,4.8,0
5.96,5.1,1
5.2,53.7,0
5.84,11.5,0
6.39,19.4,0
5.89,13.6,0
5.44,21.3,1
5.6,4.2,1
7.3,31.1,1
6.03,4.1,0
6.82,48.0,1
7.52,14.0,1
8.45,32.4,0
5.2,52.8,0
9.0,39.1,1
8.14,32.0,0
5.41,19.5,0
9.37,20.0,0
9.6,40.2,0
5.31,59.6,1
6.38,39.7,0
9.03,33.5,0
8.74,43.8,0
5.92,27.9,0
