cgpa,placement_exam_marks,placed
7.9,10.0,1
7.39,6.3,1
8.02,38.2,0
8.72,42.4,1
7.31,1.9,1
7.31,56.2,0
8.76,3.1,1
8.11,32.5,0
7.12,42.5,0
7.93,52.3,0
7.13,42.8,0
7.13,48.1,1
7.69,20.4,1
5.97,48.9,1
6.12,4.8,0
7.05,53.7,1
6.69,32.9,1
7.75,49.0,0
6.77,27.1,0
6.37,38.6,1
8.67,31.6,0
7.32,43.9,0
7.55,4.9,0
6.36,3.6,0
7.06,14.8,1
7.59,9.6,0
6.58,52.3,0
7.8,13.2,0
7.02,58.6,0
7.27,20.2,0
7.02,10.9,0
8.98,47.4,0
7.49,39.5,0
6.65,29.9,1
8.16,33.3,0
6.52,43.2,1
7.67,13.7,0
5.93,59.8,0
6.44,58.5,0
7.66,39.0,0
8.09,12.0,1
7.64,40.8,0
7.41,4.3,0
7.26,1.8,1
6.32,15.5,1
6.92,27.8,0
7.13,52.1,1
8.35,43.6,1
7.77,44.6,1
6.09,25.5,0
7.76,20.8,0
7.19,22.3,0
6.96,59.3,1
7.99,2.4,0
8.32,52.0,1
8.25,34.7,0
6.83,26.3,0
7.25,43.5,1
7.77,29.2,0
8.28,52.4,1
7.12,54.0,1
7.35,25.3,0
6.61,16.6,1
6.54,35.5,0
8.15,54.7,0
8.58,12.6,1
7.44,37.4,0
8.3,37.9,1
7.79,44.0,0
6.98,7.9,0
7.79,42.9,0
8.73,54.5,0
7.47,10.8,0
8.75,14.3,1
5.4,58.3,1
8.16,10.9,1
7.57,51.3,1
7.26,29.5,1
7.57,14.8,1
5.91,52.2,0
7.32,26.7,0
7.79,30.9,1
8.68,21.6,1
7.09,35.6,0
6.85,9.8,0
7.1,23.5,0
8.23,58.2,1
7.76,15.5,1
7.08,39.4,1
7.91,19.5,0
7.58,46.4,0
8.27,7.9,1
6.94,58.2,1
7.24,27.2,0
7.19,14.2,0
6.33,4.4,0
7.74,10.2,0
7.71,31.2,1
7.5,20.2,0
7.31,49.7,0
6.37,25.9,0
7.16,14.9,1
7.23,37.0,1
6.86,42.4,0
7.37,10.0,0
7.82,10.1,0
9.01,2.2,1
7.64,44.2,1
7.71,39.8,1
7.44,28.5,0
5.96,50.7,1
7.48,48.3,0
7.55,35.1,0
9.47,52.1,0
7.35,12.4,1
7.74,6.7,0
7.47,16.2,1
6.57,3.4,1
8.41,31.9,0
8.1,56.2,0
8.13,2.4,1
6.77,7.3,0
8.62,27.1,1
6.38,56.0,0
7.97,19.0,1
9.25,30.4,1
6.71,2.5,1
7.05,8.9,1
7.58,59.2,0
7.1,57.9,0
6.26,0.3,1
7.55,57.1,1
6.65,38.3,0
7.88,52.1,0
6.76,27.3,0
8.74,30.9,0
6.87,29.3,0
7.24,40.0,0
8.15,8.4,1
6.52,1.8,0
7.68,18.5,0
8.55,42.3,1
6.21,12.1,0
7.65,40.4,0
7.71,58.2,0
8.13,5.6,0
6.51,40.4,0
6.44,26.6,1
7.92,52.1,0
7.74,10.6,1
7.7,41.6,1
7.78,50.3,0
6.96,56.7,1
7.69,41.0,0
7.73,29.8,1
6.93,37.1,1
8.99,52.1,0
7.88,34.2,0
6.55,1.8,0
8.03,55.9,0
6.72,41.4,0
8.13,40.6,1
8.43,12.9,1
6.84,39.5,1
8.27,23.6,1
7.83,39.1,1
8.16,6.4,1
9.02,39.5,1
7.3,60.0,0
6.9,2.9,0
6.79,58.6,1
6.85,24.4,1
7.44,52.2,0
7.77,46.9,0
7.72,34.0,0
8.16,44.3,0
7.51,52.7,1
8.66,24.2,0
7.29,19.6,1
9.68,40.1,1
8.0,48.5,1
6.81,45.7,0
6.64,47.9,0
7.89,26.1,1
7.32,49.1,1
8.07,7.2,1
7.88,32.7,0
7.44,0.3,1
6.82,19.5,0
6.29,22.0,1
7.14,23.8,1
8.19,41.7,1
7.67,23.3,0
6.5,26.9,0
7.64,14.3,1
7.81,22.4,0
6.79,13.6,1
7.62,4.4,0
7.55,36.2,0
