Age,Pclass,SibSp,Parch,Survived
37.0,1,5,0,1
28.1,1,2,1,1
39.1,3,3,4,0
51.3,3,3,0,1
26.7,1,0,0,1
26.7,3,1,1,0
52.1,1,4,2,0
40.7,3,4,0,0
23.4,3,0,4,1
37.6,3,5,0,1
23.5,3,1,4,0
23.5,3,2,3,0
33.4,2,5,3,0
3.2,3,5,4,0
5.9,1,0,2,1
22.1,3,0,0,0
15.8,3,4,0,0
34.4,3,0,3,0
17.3,3,0,4,1
10.2,3,0,0,0
50.5,3,4,0,1
26.8,3,2,2,0
30.9,1,2,1,0
10.1,1,0,3,0
22.4,2,4,3,0
31.6,1,2,1,0
13.9,3,5,0,1
35.3,1,2,2,1
21.6,3,2,2,1
25.9,2,4,3,0
21.6,1,5,2,1
55.9,3,4,1,0
29.8,3,0,0,0
15.2,3,3,1,0
41.5,3,2,4,0
12.9,3,3,3,1
32.9,1,4,2,0
2.6,3,4,4,0
11.4,3,4,2,0
32.8,3,3,0,0
40.3,1,4,0,0
32.4,3,0,0,0
28.4,1,4,2,1
25.8,1,1,4,1
9.3,2,3,0,0
19.9,3,1,4,0
23.6,3,4,2,0
44.8,3,0,4,1
34.8,3,2,2,0
5.3,2,5,2,0
34.5,2,5,3,0
24.6,2,4,2,0
20.5,3,0,2,0
38.6,1,3,1,1
44.4,3,1,0,0
43.0,3,1,3,0
18.3,2,1,3,1
25.7,3,3,3,1
34.6,3,5,1,0
43.7,3,0,2,0
23.3,3,3,0,0
27.4,2,1,4,1
14.5,2,4,2,0
13.3,3,2,1,1
41.4,3,3,2,1
49.0,1,3,2,0
29.0,3,0,1,0
44.0,3,0,3,0
35.1,3,3,3,0
21.0,1,1,0,0
35.1,3,2,0,1
51.5,3,0,3,1
29.5,1,1,4,0
51.9,1,4,2,1
0.0,3,0,4,0
41.5,1,1,2,0
31.2,3,1,3,0
25.8,3,2,0,0
31.3,2,2,0,1
2.2,3,4,4,1
26.9,3,1,0,0
35.0,3,5,3,0
50.7,2,1,4,0
22.7,3,2,2,0
18.7,1,5,0,1
23.0,2,0,1,1
42.8,3,0,0,0
34.6,2,3,2,0
22.6,3,2,4,0
37.2,2,3,2,0
31.4,3,5,1,0
43.6,1,2,3,0
20.2,3,4,0,1
25.4,3,1,4,1
24.5,1,4,3,0
9.5,1,5,2,0
34.1,1,2,4,0
33.7,3,5,3,0
30.1,2,1,4,1
26.7,3,0,1,0
10.2,2,0,1,0
24.1,2,5,0,0
25.2,3,3,0,1
18.8,3,2,1,0
27.7,1,2,4,0
35.7,1,0,1,0
56.4,1,4,0,1
32.4,3,1,1,1
33.6,3,4,1,0
29.0,3,4,4,1
3.1,3,5,3,1
29.6,3,0,0,1
30.8,3,0,4,1
