cgpa,iq,placement
7.21,144,17.53
5.02,90,13.61
5.47,93,15.16
9.17,85,22.54
9.84,112,24.21
9.74,145,24.0
5.55,88,14.82
8.53,94,20.65
5.04,90,13.37
5.21,115,14.63
5.07,146,15.68
8.48,143,21.3
7.46,104,17.57
8.64,87,21.04
7.62,101,19.17
8.6,117,20.09
7.24,112,18.41
7.17,84,16.93
9.19,105,21.11
9.17,119,21.8
6.02,115,15.26
9.91,108,24.41
9.36,142,23.16
5.45,96,15.01
7.45,94,16.89
7.67,133,18.77
9.8,110,23.6
6.17,137,15.75
8.73,116,19.74
7.22,135,19.96
6.36,114,16.22
7.7,95,18.16
8.12,124,20.02
9.06,86,21.86
6.49,80,15.51
9.11,102,19.61
8.78,87,19.89
8.93,109,20.65
7.76,106,19.68
6.93,127,18.21
9.66,112,22.8
6.61,99,16.81
6.09,131,16.57
6.31,97,15.92
9.35,139,23.95
8.58,130,20.94
6.98,147,20.76
7.72,115,18.72
9.63,131,23.63
8.97,120,20.0
9.64,119,23.5
7.13,117,19.76
7.87,137,19.99
8.9,82,20.06
5.81,129,13.98
6.84,149,17.07
7.89,99,18.99
5.02,134,12.9
7.57,122,18.42
5.42,149,14.63
8.91,148,23.04
7.79,122,19.92
7.16,124,18.95
8.3,112,21.08
8.75,117,22.11
7.53,101,18.22
6.48,135,16.74
7.25,105,18.42
8.81,148,23.27
5.58,82,14.69
5.19,86,13.08
8.44,125,22.27
8.96,132,22.24
8.06,87,19.66
8.8,135,21.75
7.66,136,18.87
7.58,121,18.1
6.56,118,17.65
6.59,92,16.22
6.42,130,18.5
9.04,116,20.36
8.97,80,21.92
8.98,88,18.75
7.67,143,19.41
5.11,85,10.72
6.74,126,15.26
9.75,118,24.41
5.68,143,13.37
5.64,87,12.88
6.22,110,15.38
6.32,104,13.73
5.34,101,12.89
7.63,96,19.56
6.01,150,17.9
6.19,81,14.09
8.42,142,21.16
9.6,98,23.22
7.4,95,17.82
7.0,115,16.97
8.15,127,20.69
6.59,93,16.06
6.71,148,18.09
6.58,130,16.75
5.15,143,15.47
8.22,144,21.53
9.3,107,21.65
6.14,126,16.03
9.81,105,23.9
5.79,147,14.97
7.39,146,19.06
6.43,140,15.93
6.86,98,16.52
5.2,142,15.45
5.45,128,14.54
7.65,106,18.55
9.2,126,22.05
7.87,89,19.73
5.24,126,15.01
6.31,123,16.88
6.85,91,16.66
6.58,97,16.21
6.38,144,16.68
5.28,115,14.5
8.26,96,19.44
9.34,94,19.98
8.73,121,21.85
8.15,81,16.69
7.18,121,16.31
6.19,88,14.76
9.76,146,23.84
7.61,141,19.39
6.92,113,19.43
6.67,148,16.95
8.31,106,19.11
7.9,150,20.9
9.58,104,20.43
9.48,93,22.5
5.7,144,15.6
9.41,109,21.37
9.66,91,22.56
7.53,142,20.83
7.22,83,16.37
9.73,121,20.64
9.2,94,20.77
8.41,95,20.08
5.86,133,17.15
6.63,92,17.16
8.07,106,20.19
5.99,106,15.23
5.88,120,16.43
8.13,123,20.09
9.11,111,21.56
5.47,128,14.31
9.51,93,23.01
8.83,119,20.82
7.99,146,21.23
6.81,121,16.35
8.73,144,22.46
6.83,96,16.16
7.91,126,18.72
9.44,145,23.69
9.42,131,23.67
8.13,101,19.52
7.15,102,17.71
8.75,87,19.7
8.69,122,20.4
7.75,138,21.89
7.08,120,17.34
8.39,121,18.6
8.14,133,20.26
6.65,80,14.73
9.75,137,21.84
9.62,113,21.36
7.63,80,18.17
6.34,88,16.35
6.36,149,16.06
5.48,133,15.87
7.46,145,18.73
6.64,141,16.99
9.31,81,20.6
9.36,137,23.38
6.73,81,14.57
9.87,114,25.64
5.54,149,16.31
8.5,136,21.72
9.1,116,20.37
6.33,81,14.93
9.03,102,20.25
7.88,124,19.68
9.11,105,22.71
5.32,148,15.76
6.44,90,17.21
6.84,94,16.25
6.03,87,15.5
8.76,117,23.31
5.64,96,15.34
6.91,149,17.12
5.22,140,14.17
5.73,92,13.48
7.35,100,16.59
6.46,125,17.58
6.75,133,16.46
9.18,109,23.51
7.28,96,17.25
5.07,149,13.8
8.69,111,18.75
7.94,135,19.65
6.88,97,16.19
8.47,131,22.33
7.14,106,18.11
6.97,121,17.52
8.66,124,19.68
9.13,132,21.72
7.78,83,19.42
6.34,133,14.77
5.13,128,13.36
9.22,101,21.77
9.87,102,24.03
6.97,85,16.26
7.09,99,17.89
8.15,138,21.27
6.68,115,17.83
6.81,81,16.82
8.95,149,21.06
7.93,85,18.96
6.64,101,16.75
6.62,98,17.9
8.31,138,20.6
9.84,127,20.56
7.0,126,19.23
9.11,119,20.25
9.48,86,20.47
6.57,111,17.23
8.98,127,22.75
8.63,131,20.75
6.89,83,16.07
9.16,146,22.88
8.31,88,19.4
7.82,121,19.22
6.5,119,15.55
5.36,112,14.25
8.66,127,21.52
7.85,90,17.45
5.41,146,13.55
7.79,102,17.84
9.64,118,22.57
5.02,85,14.09
5.4,107,15.36
6.08,141,15.2
5.88,102,14.75
7.2,114,17.44
5.47,134,16.18
6.87,94,18.16
5.39,85,13.64
5.8,101,16.14
9.08,111,19.89
5.55,82,14.24
7.84,106,18.84
9.52,124,23.03
7.38,86,17.81
5.77,124,15.11
9.18,132,22.02
5.61,134,16.54
8.52,148,21.93
7.18,118,17.71
5.2,93,12.75
5.53,93,13.63
5.27,80,13.87
8.78,86,18.29
6.79,116,15.31
6.6,134,16.68
9.45,102,22.12
8.26,98,20.03
7.44,116,19.39
7.19,85,17.76
8.96,127,21.24
8.17,101,19.71
9.34,123,23.29
7.64,88,18.59
9.76,128,23.09
5.18,132,14.19
9.7,97,23.36
6.6,128,15.39
7.51,100,16.97
9.06,111,20.1
7.04,113,16.9
7.06,127,17.02
9.82,115,22.52
9.41,112,22.35
7.42,110,17.28
8.7,101,19.43
5.74,86,14.3
8.26,80,18.22
5.67,117,16.1
9.93,117,24.6
6.58,128,16.32
8.13,98,19.96
6.88,107,18.49
5.9,83,13.96
7.09,86,17.94
8.4,81,20.11
9.95,99,22.52
7.69,133,18.23
6.31,148,16.68
7.35,147,19.96
5.77,96,15.4
8.94,142,22.2
8.25,112,20.37
7.68,99,18.34
9.4,124,24.8
8.74,126,22.68
7.37,81,17.33
9.12,110,22.2
7.8,149,20.17
7.72,82,17.21
5.57,105,14.9
6.96,117,16.84
6.63,138,17.25
7.19,150,18.21
6.96,96,16.39
8.8,140,20.92
6.08,131,16.3
8.45,118,19.82
9.13,102,21.99
8.16,136,18.94
6.12,111,14.57
5.36,126,15.5
5.42,136,14.74
7.9,112,19.42
7.28,132,18.21
7.66,142,19.26
7.61,146,20.2
7.45,139,19.14
8.33,140,19.84
9.14,95,21.16
5.92,133,13.97
7.49,110,19.62
5.56,105,13.47
6.22,146,15.87
6.52,97,15.31
9.48,84,21.25
6.27,122,14.98
8.09,120,18.61
6.06,101,15.34
9.95,102,24.31
8.08,129,21.12
5.88,89,14.86
8.77,131,21.66
8.57,127,20.33
5.45,102,13.4
8.2,87,20.71
8.02,125,17.79
8.35,116,22.04
6.1,109,15.8
5.66,90,13.21
5.99,111,15.08
9.37,91,20.95
7.94,122,19.72
6.51,145,18.29
9.28,119,21.54
6.07,94,14.51
7.06,81,16.38
8.32,113,19.27
8.05,97,17.89
9.24,109,20.22
