age,salary,experience_years,education_level,department,city,gender,score,last_promotion_years,joining_year,projects_completed,overtime_hours, leaves_taken,performance_rating,work_life_balance,travel_frequency
56,63919.0,24.0,High School,Sales,Bangalore,Other,41.285937329690626,14,2022,23,22,19,4,1.8490685073713027,Very Often
69,102103.0,26.0,High School,Marketing,Delhi,Other,8.908017135090397,11,2001,19,12,37,4,2.3925570044821987,Often
46,142443.0,5.0,PhD,HR,Bangalore,Male,11.347640200973741,5,2012,36,21,35,4,2.918867468732113,Rarely
32,23358.0,33.0,Bachelor,Finance,Delhi,Other,90.41108125595333,11,2021,30,9,11,4,1.69798693254087,Rarely
60,,8.0,PhD,Sales,Bangalore,Female,44.617958483049335,9,2005,46,17,4,4,4.212181276393636,Rarely
25,127894.0,32.0,Master,Sales,Mumbai,Male,68.87396540045985,4,2008,16,1,4,3,2.5040442015303555,Often
38,141485.0,5.0,High School,Sales,Delhi,Female,13.891442324353331,14,2013,48,21,16,4,4.5863491087349315,Very Often
56,,36.0,Master,Finance,Delhi,Other,2.194748239275579,6,2023,23,11,37,4,3.6986265724851686,Rarely
36,143416.0,30.0,High School,HR,Bangalore,Male,89.0483957348864,10,2020,17,12,9,5,1.7064237097859767,Very Often
40,125982.0,33.0,Bachelor,Marketing,Pune,Female,57.45456395490219,14,2006,25,24,15,3,3.567885482668309,Very Often
28,117057.0,28.0,Master,Sales,Pune,Female,1.9987755571006849,3,2022,41,20,23,2,1.0929905380525815,Rarely
28,25698.0,13.0,High School,Sales,Mumbai,Female,99.23394809279871,14,2004,6,6,28,3,4.229507519856764,Often
41,86809.0,35.0,PhD,HR,,Female,49.2192383013758,9,2006,42,17,13,1,4.896897063343087,Rarely
53,113079.0,35.0,PhD,Sales,Hyderabad,Female,47.587650816527585,9,2002,13,21,9,4,3.711029922296391,Often
57,75805.0,14.0,PhD,Sales,Mumbai,Other,62.091418432262124,2,2022,40,10,28,2,4.705975565787671,Very Often
41,51349.0,7.0,Master,Finance,Hyderabad,Other,0.790453419546211,6,2012,48,21,27,1,2.179196379093611,Rarely
20,96777.0,25.0,High School,IT,,Other,56.913837370644,13,2021,1,9,16,2,2.6943550958804243,Rarely
39,70248.0,,High School,HR,Pune,Other,62.94839039896568,9,2011,29,21,4,3,2.6983895815006136,Often
19,95033.0,20.0,High School,HR,Mumbai,Other,29.69535681030726,0,2005,48,5,1,1,1.4481178794164866,Often
41,127411.0,27.0,Master,HR,,Other,72.68524097682985,5,2001,16,13,35,4,4.185772415699912,Very Often
61,118239.0,3.0,High School,Finance,Mumbai,Other,37.74318162179677,12,2014,19,19,39,4,2.9802658491786502,Rarely
47,64041.0,15.0,Bachelor,Finance,Pune,Female,71.77731344581402,10,2014,9,4,38,1,2.961711463276354,Rarely
55,51954.0,21.0,Master,Marketing,Hyderabad,Other,14.38251784525143,10,2017,23,19,8,3,3.6738750686414123,Rarely
19,28002.0,11.0,Bachelor,Finance,Bangalore,Female,91.3697816041018,10,2022,43,5,35,1,1.6839490750837642,Often
38,89783.0,15.0,Bachelor,HR,Pune,Male,87.94573736562602,1,2016,11,8,4,3,4.240624420454401,Often
50,127524.0,39.0,PhD,Marketing,Mumbai,Other,15.062647608777057,1,2024,26,28,14,2,2.4634867654435806,Rarely
29,107234.0,37.0,Master,IT,Delhi,Female,93.8453937085521,10,2002,14,4,8,3,1.3185637566323063,Often
39,144857.0,36.0,High School,Sales,Bangalore,Male,55.77802727672739,7,2021,8,4,24,1,1.7613008918996225,Very Often
61,39738.0,28.0,Bachelor,Sales,Mumbai,Male,70.16496783649684,2,2002,17,18,27,1,2.011409832078367,Rarely
42,30703.0,17.0,Master,Marketing,Mumbai,Female,84.02937923765286,8,2008,47,12,26,2,1.7117816514217568,Rarely
66,133776.0,9.0,High School,IT,Pune,Female,8.356994708000364,3,2009,6,26,32,1,1.96890367637151,Very Often
44,69422.0,38.0,PhD,Sales,Mumbai,Female,16.928435746616653,13,2011,27,22,32,5,4.9834077183054735,Rarely
59,103106.0,17.0,Master,Marketing,Bangalore,Other,29.03909214859618,5,2022,45,4,37,1,3.1509072370249607,Rarely
45,81899.0,0.0,Master,Finance,Bangalore,Male,47.720448138701364,0,2000,35,13,7,5,3.411705635978106,Rarely
33,32392.0,38.0,Master,HR,Mumbai,Other,34.605450629874056,10,2003,2,1,3,1,1.6641068687610394,Rarely
32,64724.0,20.0,High School,IT,Pune,Other,50.584637694205306,14,2020,43,24,35,1,1.1760826326078653,Often
64,52299.0,0.0,Bachelor,Sales,Bangalore,Other,18.591702734373627,9,2022,15,4,30,2,2.241402629073782,Very Often
68,35641.0,14.0,Bachelor,HR,Delhi,Male,68.21541399331646,9,2022,35,22,9,5,4.079260391516641,Rarely
61,99534.0,3.0,Master,Marketing,Hyderabad,Male,5.573488118373115,2,2004,3,27,7,2,3.23512729453893,Often
69,26305.0,19.0,Master,Sales,Pune,Male,36.14495062079616,3,2016,34,22,29,5,1.0431328908890536,Rarely
20,118262.0,9.0,High School,HR,,Female,17.90332446711226,4,2020,8,25,13,5,4.155077388317224,Often
54,38782.0,22.0,PhD,Finance,Hyderabad,Other,72.99332718706803,12,2004,45,11,34,4,1.4159985550321945,Often
68,98257.0,33.0,Master,IT,Hyderabad,Female,88.36533388299114,0,2003,11,23,2,5,2.761523643882866,Very Often
24,,32.0,Master,Marketing,Bangalore,Female,7.87862092034749,13,2021,9,19,28,2,4.997894524211025,Often
38,97963.0,,PhD,Sales,Mumbai,Other,78.50378558663999,3,2014,45,6,15,2,1.4854679360069407,Rarely
26,132086.0,38.0,Master,Finance,Mumbai,Male,89.57222937221022,4,2023,43,2,9,3,4.26010549559956,Very Often
56,141987.0,9.0,Bachelor,IT,Delhi,Other,97.39702166140552,3,2009,43,8,3,1,4.196832166453989,Very Often
35,40566.0,19.0,Master,IT,Mumbai,Female,57.9386250945089,9,2004,1,14,3,4,2.7801639285834807,Rarely
21,144591.0,,Bachelor,Finance,Delhi,Male,32.739188600740675,9,2013,18,14,1,1,4.953060759415026,Rarely
42,87766.0,12.0,High School,Sales,Delhi,Male,32.19735998673302,6,2023,12,7,10,2,2.231873317677187,Very Often
31,,0.0,High School,IT,Pune,Female,37.89700792944526,7,2020,41,27,14,4,2.263128866043344,Often
67,134816.0,4.0,Bachelor,Marketing,,Male,61.26674073276269,11,2012,32,25,10,5,1.609578548882884,Very Often
26,127765.0,15.0,Bachelor,HR,Bangalore,Male,49.0230012139125,7,2018,0,15,22,2,2.4790175818003815,Very Often
43,138360.0,14.0,PhD,Marketing,Hyderabad,Other,65.3635026406835,2,2007,27,24,37,2,2.185655828569126,Rarely
19,46177.0,27.0,Bachelor,IT,Hyderabad,Other,3.931387352957616,12,2011,39,1,29,2,3.417956313591502,Rarely
37,24765.0,30.0,Bachelor,HR,Delhi,Female,10.588155038111369,4,2019,5,19,0,2,1.1629309063430915,Rarely
45,40354.0,22.0,Master,Finance,Hyderabad,Female,97.6539499426761,9,2018,2,0,32,4,2.241034461273567,Very Often
64,43929.0,16.0,PhD,HR,Delhi,Female,99.53855021862385,14,2018,44,23,36,1,1.0188264105059575,Very Often
24,48820.0,33.0,Bachelor,HR,Hyderabad,Male,74.66588171393899,7,2005,24,28,22,1,1.025241191461423,Rarely
61,131576.0,12.0,Bachelor,HR,Bangalore,Female,25.639715018102983,6,2007,43,3,17,5,4.281198469485106,Very Often
25,49523.0,13.0,Bachelor,IT,Pune,Other,95.338173440055,13,2009,15,3,9,2,3.9992635682685935,Rarely
64,91088.0,10.0,Master,Sales,Pune,Male,21.370279379170356,8,2020,42,22,16,2,3.9765632540124543,Very Often
52,,27.0,Master,IT,Delhi,Female,73.14313224276057,12,2016,3,29,6,1,2.4145394366191235,Often
31,97525.0,31.0,Master,Sales,Hyderabad,Male,11.525831169203881,9,2000,7,5,14,5,3.7969740801650955,Rarely
34,33780.0,34.0,High School,Finance,,Male,64.8904498559834,6,2018,38,2,26,3,2.0261417113236173,Often
53,26589.0,30.0,Master,Finance,Bangalore,Male,75.9515003356136,1,2011,15,7,8,4,2.237605211458764,Rarely
67,54812.0,16.0,Bachelor,Finance,Hyderabad,Female,85.96401445880826,3,2021,43,1,20,1,3.2499375468090763,Rarely
57,113664.0,8.0,Master,Finance,Mumbai,Male,73.43061396880105,11,2001,37,28,36,4,3.798485129775529,Very Often
21,65939.0,9.0,Master,Finance,Bangalore,Male,92.3485355355452,13,2016,22,16,28,1,2.062907460615493,Rarely
19,71493.0,7.0,PhD,Marketing,Bangalore,Male,52.0923257900725,11,2006,5,27,32,5,3.717137491341806,Often
23,124188.0,20.0,Bachelor,IT,Pune,Other,67.74286068933277,7,2013,42,11,5,2,4.8499725017425614,Often
59,113326.0,12.0,Master,Sales,Delhi,Female,36.9550085088352,8,2013,43,28,24,3,2.9753448923917225,Very Often
21,60953.0,4.0,High School,Finance,Hyderabad,Other,,6,2011,15,11,34,4,2.628428916750941,Rarely
46,85785.0,5.0,PhD,Marketing,Bangalore,Male,75.66929554673403,4,2015,15,14,16,3,1.929997290297385,Rarely
35,,29.0,Master,Marketing,Hyderabad,Male,86.98606478712057,0,2017,22,17,26,2,2.4245948024228983,Very Often
43,74195.0,30.0,PhD,Marketing,Bangalore,Other,17.392447700972703,14,2007,15,8,39,1,3.115282024532319,Rarely
61,135662.0,16.0,PhD,IT,Pune,Male,2.864075166529112,8,2001,35,20,24,5,4.776429929656727,Rarely
51,45901.0,10.0,High School,Finance,Delhi,Other,16.450184550146364,11,2010,11,4,11,2,2.043010725733392,Often
27,43576.0,19.0,High School,Marketing,Mumbai,Male,89.5289293239289,5,2000,36,21,36,3,1.9258530819037945,Often
53,51508.0,8.0,High School,Marketing,Mumbai,Male,29.55103893713298,1,2009,8,2,39,3,4.842343634820685,Often
31,94711.0,1.0,Bachelor,Finance,Pune,Male,23.37041148536717,10,2017,17,16,37,3,3.4233756488903078,Often
48,45464.0,,PhD,IT,,Male,1.458982484321636,9,2015,8,28,24,1,3.941080252370439,Rarely
65,80281.0,,Master,Marketing,Pune,Female,29.705514721006622,9,2001,47,23,1,3,4.318782919262259,Rarely
32,36260.0,3.0,High School,Sales,Delhi,Female,71.56390770222363,1,2022,20,22,0,1,1.3271612449776695,Often
