cgpa,package
6.25,3.18
9.7,4.45
8.39,4.31
7.59,3.98
4.94,2.64
4.94,2.79
4.35,2.43
9.2,4.74
7.61,3.78
8.25,3.63
4.12,2.19
9.82,4.97
8.99,4.58
5.27,2.25
5.09,2.22
5.1,2.87
5.83,2.9
7.15,3.78
6.59,3.3
5.75,2.88
7.67,4.12
4.84,2.27
5.75,2.9
6.2,2.96
6.74,3.24
8.71,4.26
5.2,2.67
7.09,3.4
7.55,4.15
4.28,1.87
7.65,3.77
5.02,2.38
4.39,2.63
9.69,4.9
9.79,5.2
8.85,3.98
5.83,3.0
4.59,2.56
8.11,4.08
6.64,3.64
4.73,2.21
6.97,3.91
4.21,2.79
9.46,4.62
5.55,2.64
7.98,4.43
5.87,3.41
7.12,3.4
7.28,3.51
5.11,2.47
9.82,4.51
8.65,4.05
9.64,4.52
9.37,4.45
7.59,3.78
9.53,4.84
4.53,2.73
5.18,2.29
4.27,2.43
5.95,2.91
6.33,3.15
5.63,3.02
8.97,4.15
6.14,3.18
5.69,2.89
7.26,3.78
4.85,2.51
8.81,5.14
4.45,2.03
9.92,4.8
8.63,4.13
5.19,2.43
4.03,1.82
8.89,4.8
8.24,4.55
8.37,4.01
8.63,4.07
4.44,2.36
6.15,2.91
4.7,2.54
9.18,4.65
7.74,3.42
5.99,3.46
4.38,2.73
5.87,2.75
5.95,2.86
8.38,4.28
7.83,4.02
9.32,4.86
6.83,4.02
4.72,2.31
8.28,3.9
8.56,3.87
7.37,3.47
8.63,4.31
6.96,4.02
7.14,3.41
6.57,3.35
4.15,2.07
4.65,2.68
4.19,2.85
7.82,3.75
5.89,2.8
7.05,3.84
9.45,4.93
5.5,3.3
6.46,3.41
8.53,4.16
5.37,2.86
4.46,2.56
5.74,3.12
4.97,2.64
9.58,5.11
8.85,4.78
7.8,4.31
9.23,4.81
8.82,4.36
5.12,2.6
9.36,5.04
7.24,3.37
8.84,4.53
9.38,4.57
5.91,2.96
4.66,2.71
5.37,2.74
6.56,3.29
8.91,4.05
9.16,4.8
4.04,2.21
7.06,4.18
6.5,3.16
5.33,2.73
4.72,2.43
6.03,3.49
9.66,4.8
5.94,3.05
7.11,3.74
8.22,4.17
6.18,2.96
9.83,4.97
9.77,5.21
5.51,2.45
6.98,3.53
5.81,2.69
5.71,3.21
4.22,1.65
7.66,3.66
7.02,3.62
4.31,2.62
5.67,2.82
9.45,4.56
5.44,3.28
4.87,2.0
6.94,2.81
9.91,5.09
5.45,2.57
8.03,3.71
8.57,4.5
5.43,2.79
8.37,4.02
6.21,2.72
7.79,4.16
7.8,4.1
7.21,3.58
4.54,2.82
9.01,4.18
5.92,2.5
5.12,2.35
4.24,2.11
7.55,3.85
8.07,3.96
4.1,2.16
7.07,3.16
5.36,3.11
7.87,3.91
5.05,2.86
8.15,4.18
6.32,3.3
9.62,4.98
4.83,2.55
6.05,3.22
4.68,2.74
9.55,4.83
9.26,4.84
5.55,2.75
7.96,4.41
8.9,4.25
7.33,4.21
7.18,3.58
5.45,2.3
4.56,2.32
9.38,4.49
9.4,4.95
7.8,3.7
6.03,2.88
6.1,2.48
8.36,4.04
9.38,3.96
9.32,4.18
8.68,4.57
7.85,4.16
4.5,2.38
4.97,2.19
9.39,4.68
7.64,3.82
4.06,1.68
4.61,2.76
7.98,4.25
4.03,1.95
4.96,2.49
7.29,3.71
8.15,3.46
7.91,3.88
5.35,2.47
8.27,3.83
5.42,2.63
5.95,3.51
8.48,4.43
7.9,3.78
9.1,4.72
7.95,4.39
7.41,3.98
4.56,2.3
6.21,2.91
5.59,3.0
5.46,2.85
9.84,5.19
6.36,3.37
9.35,4.99
7.79,3.73
8.77,4.78
7.02,3.57
7.46,4.35
6.96,3.27
5.17,3.11
8.33,4.22
5.68,2.64
4.15,1.93
7.87,3.84
5.06,2.66
9.64,4.98
9.72,4.69
9.49,4.74
6.22,3.75
4.09,2.56
9.57,4.92
6.57,3.3
9.8,4.94
9.78,5.07
9.12,4.25
5.77,2.81
6.31,2.65
9.11,4.67
5.9,3.14
5.02,2.37
7.34,4.14
9.62,4.44
8.18,3.65
7.42,3.78
4.58,2.6
7.69,4.35
9.94,4.83
4.84,2.74
7.11,3.54
9.26,4.58
8.44,4.49
8.18,4.29
8.21,3.63
6.16,3.52
5.76,3.29
8.86,4.24
8.86,4.55
9.2,4.75
9.48,4.82
7.07,3.37
7.01,3.3
8.79,4.39
7.9,4.3
8.21,4.27
8.77,4.27
9.34,4.9
6.03,2.16
6.25,3.47
4.56,1.76
7.47,3.63
4.22,1.77
6.79,3.01
7.26,3.98
5.72,2.72
7.54,3.87
4.18,2.08
4.22,2.25
8.94,4.49
6.16,2.7
4.76,2.68
7.13,3.42
8.62,3.84
5.29,2.52
7.74,4.32
4.51,2.51
4.31,2.05
7.19,3.49
7.24,3.52
7.82,4.53
8.36,4.29
9.86,5.06
7.1,3.86
5.94,3.04
8.77,4.31
5.62,2.75
6.63,3.29
4.47,2.22
4.15,2.29
9.78,4.91
9.02,4.73
8.18,4.07
6.45,3.25
5.04,1.92
4.94,2.74
5.5,2.85
7.3,3.95
8.29,3.28
7.96,4.61
5.68,2.8
9.73,5.2
8.43,3.9
7.33,3.85
7.67,3.52
6.52,3.07
5.49,3.32
6.14,3.01
8.55,4.34
4.09,2.31
4.7,2.5
4.28,2.19
4.24,2.23
9.13,5.29
8.22,4.09
6.85,3.49
4.59,2.61
6.95,3.81
6.84,3.78
5.04,2.71
6.6,2.96
6.39,3.69
7.7,3.51
7.81,4.0
4.27,1.91
6.25,3.11
7.76,3.98
7.02,3.61
9.14,4.7
7.95,4.46
4.98,2.63
4.42,2.14
7.85,4.21
4.16,2.44
7.51,3.39
9.64,5.0
7.45,3.94
6.33,3.08
7.86,4.34
6.75,3.33
7.27,3.67
9.65,4.77
6.32,3.16
9.77,4.56
9.43,4.28
5.17,3.06
4.42,1.96
4.6,2.0
4.11,1.41
4.57,2.09
8.1,3.65
4.43,2.71
5.91,3.26
9.07,4.33
4.14,2.75
8.89,4.74
5.69,2.75
4.71,1.61
8.18,4.78
7.77,3.47
9.26,4.14
8.41,4.51
8.82,5.14
5.69,3.26
5.06,2.7
8.5,4.43
8.84,4.68
9.94,5.2
6.48,3.32
6.23,3.15
8.66,4.31
6.04,2.79
9.58,4.71
9.15,4.07
6.57,3.26
8.51,3.96
8.53,3.93
4.62,2.36
9.42,5.13
7.03,3.79
8.96,4.01
5.92,2.66
9.37,4.97
6.34,2.88
4.07,1.97
9.43,4.88
4.55,1.98
5.92,2.99
9.7,4.45
9.7,4.67
7.44,3.82
7.79,3.42
6.69,3.48
5.76,2.87
5.97,3.15
8.04,4.09
8.51,4.66
8.75,4.41
8.74,4.24
4.55,2.31
6.97,3.65
4.35,2.19
7.3,3.66
6.65,3.11
9.33,4.47
6.11,2.63
4.7,2.87
4.86,2.06
8.57,4.08
7.71,3.64
4.61,2.57
4.5,2.16
8.21,4.48
4.44,2.02
8.93,4.55
8.24,3.87
4.49,2.89
4.51,1.9
9.92,5.05
6.25,3.32
6.22,3.23
8.88,4.38
9.68,4.8
9.92,4.97
8.52,4.22
6.26,3.42
4.5,2.91
8.66,4.16
7.35,3.26
6.55,3.25
9.44,5.49
4.67,2.09
6.96,3.97
4.07,2.54
6.81,3.24
4.34,2.34
4.71,2.84
4.71,2.24
7.9,3.89
8.48,4.07
7.5,3.45
9.77,4.69
6.25,2.76
5.71,2.87
9.21,4.37
5.34,2.74
9.78,4.42
4.07,2.13
9.82,5.16
4.26,1.53
9.35,4.79
7.17,3.95
9.96,4.62
4.44,2.72
7.32,3.79
9.82,4.7
7.14,3.55
7.78,4.06
8.17,4.11
6.73,3.53
7.77,3.61
7.51,3.81
9.41,4.28
4.27,2.1
5.69,2.57
9.7,4.63
9.34,5.04
6.73,3.69
7.72,4.04
5.66,2.5
5.13,2.47
6.78,3.75
6.12,3.1
7.5,4.45
4.47,2.35
9.85,4.98
9.92,4.87
8.19,4.14
7.22,3.56
5.86,3.14
8.88,4.73
8.11,3.82
4.98,2.09
9.47,4.18
8.94,4.62
9.7,4.52
8.35,3.53
7.68,3.96
6.51,4.0
9.6,4.8
9.2,4.85
4.27,2.16
4.16,2.05
6.26,3.41
8.86,4.34
9.92,5.04
4.9,2.55
7.56,3.58
6.29,3.44
9.82,4.86
9.05,4.3
9.03,4.68
6.81,3.14
6.49,3.25
5.64,2.82
4.34,2.5
9.19,4.74
8.88,4.43
10.0,5.25
9.98,5.41
7.33,3.83
8.61,4.31
9.67,4.44
9.1,4.23
5.48,2.65
6.7,3.17
4.77,2.33
9.72,4.88
7.64,3.98
5.37,2.66
8.03,4.16
7.71,3.87
6.15,2.48
4.68,2.06
8.03,3.97
7.12,3.2
8.63,4.49
7.12,4.02
9.11,4.92
7.31,3.59
7.37,4.13
9.26,4.67
6.42,3.11
4.8,2.22
4.17,1.99
8.53,4.15
7.72,3.91
8.22,4.16
5.28,2.64
4.82,2.54
4.09,2.4
6.1,3.33
7.54,3.32
6.35,2.41
6.62,3.59
9.42,4.3
6.09,2.98
7.08,3.19
8.7,3.81
6.38,3.35
7.73,4.09
9.17,4.41
9.7,4.07
4.88,2.28
9.56,4.9
6.95,3.03
5.55,2.83
6.75,3.37
9.88,5.11
6.96,3.52
5.97,2.69
7.8,4.26
5.44,2.67
4.46,2.22
4.77,2.11
4.77,2.25
4.91,2.19
4.83,2.36
7.85,4.44
5.09,2.13
6.07,2.55
9.38,5.13
6.84,3.36
8.01,3.8
5.03,2.83
5.15,2.39
4.25,2.67
5.01,2.71
5.67,2.69
5.06,3.18
4.53,2.08
4.72,2.58
6.76,3.47
5.24,3.01
6.19,3.56
7.02,3.52
8.14,3.84
4.24,2.26
8.8,4.2
7.77,4.49
4.49,2.29
9.24,4.51
9.53,4.82
4.37,1.78
5.66,2.54
8.84,4.78
8.49,4.05
5.11,2.24
5.26,2.79
6.22,3.47
6.91,3.67
7.71,4.15
6.21,2.88
6.78,2.96
8.48,4.69
4.22,2.01
5.51,2.68
8.28,4.54
9.37,4.85
7.07,3.67
7.19,4.24
4.64,2.13
6.68,3.62
7.2,3.62
5.45,2.81
5.62,3.27
6.26,3.28
4.12,2.22
5.93,3.29
5.27,2.53
5.96,2.73
4.72,2.05
9.34,4.08
7.56,4.4
8.07,3.7
8.74,4.3
6.99,3.41
4.52,2.35
7.22,3.85
7.52,4.02
8.47,4.06
6.59,3.24
4.77,2.47
5.7,2.78
6.18,3.57
7.88,4.09
7.42,3.93
6.14,3.27
9.92,5.31
7.63,3.87
5.42,2.32
4.61,2.42
4.92,2.26
5.48,2.58
4.96,2.66
5.12,2.93
5.71,2.86
5.04,2.61
9.38,5.2
4.48,2.31
7.15,4.36
6.46,3.4
9.89,4.42
4.67,2.56
6.39,3.31
9.82,5.3
9.19,4.8
8.9,4.41
5.55,2.41
5.03,2.45
8.01,3.75
9.58,4.62
7.34,3.85
7.43,4.22
5.68,2.96
8.62,3.95
5.12,2.69
5.94,3.33
6.55,3.09
7.05,3.48
5.45,2.73
4.69,2.11
7.66,4.02
5.73,2.83
7.49,3.87
4.93,2.2
6.89,3.31
7.2,3.82
4.31,2.04
6.02,3.53
4.81,2.29
4.38,2.26
9.94,5.25
5.93,2.54
8.86,3.9
5.53,2.31
8.09,4.42
8.56,4.11
7.57,4.55
6.83,3.25
6.47,3.29
6.09,3.51
9.58,5.39
8.98,5.11
9.79,5.26
4.75,2.68
8.39,4.37
9.63,5.05
5.09,2.38
4.4,1.95
8.45,4.22
7.45,3.67
9.05,4.39
4.84,2.63
8.77,4.67
5.21,2.63
4.98,2.93
4.99,2.15
8.89,4.39
7.99,3.78
7.14,3.01
6.15,3.05
9.26,4.59
6.35,3.63
8.9,4.64
6.63,3.01
6.26,3.69
