id,age,salary,gender,city,experience_years,department,score,is_active,joining_year
1,56,25408.0,Female,Bangalore,2,Finance,65.0833221561485,True,2009
2,69,79379.0,Male,Chennai,18,Finance,61.50646298578113,False,2002
3,46,45053.0,Male,Pune,2,Marketing,17.56720999559107,True,2022
4,32,29446.0,Male,Delhi,13,Support,51.318989170982974,True,2016
5,60,20922.0,Male,Bangalore,7,IT,71.53810171786552,False,2007
6,25,118723.0,Female,Pune,3,HR,97.32608830304918,False,2022
7,38,71356.0,Other,Chennai,19,IT,20.140630921335223,True,2003
8,56,30789.0,Male,Mumbai,10,Marketing,0.9543353067226644,False,2013
9,36,117720.0,Female,Chennai,10,Finance,7.530143359846974,False,2020
10,40,86656.0,Other,Delhi,10,HR,37.58524651819792,True,2009
11,28,64028.0,Other,Mumbai,1,Marketing,82.05446477459871,True,2000
12,28,84484.0,Female,Bangalore,16,Marketing,49.60427260165831,False,2003
13,41,52154.0,Male,Delhi,8,Marketing,45.67305928858403,True,2000
14,53,102870.0,Male,Pune,1,HR,32.92306153413945,False,2016
15,57,22336.0,Other,Pune,14,HR,5.248171009972758,True,2016
16,41,87779.0,Female,Bangalore,15,Support,45.023628667261725,True,2006
-1,20,39029.0,Male,Bangalore,3,Support,25.474870733671885,True,2022
18,44,79201.0,Other,Mumbai,7,IT,35.18848343470064,False,2019
19,44,52265.0,Female,Pune,8,HR,70.5615304784293,False,2014
-1,41,63872.0,Male,Mumbai,4,HR,52.15509839109671,False,2012
21,61,66197.0,Other,Pune,15,HR,12.464742899281331,False,2001
22,47,75180.0,Male,Mumbai,12,Support,96.1414540423639,True,2018
23,55,43710.0,Other,Bangalore,6,Marketing,63.59107657097384,False,2023
24,19,49486.0,Female,Bangalore,19,Finance,76.58684256625315,True,2012
25,38,91907.0,Male,Mumbai,16,Support,7.921315000837081,True,2023
26,50,91895.0,Other,Delhi,2,HR,49.60427260165831,False,2010
27,29,84435.0,Male,Bangalore,4,Support,1.944805036808117,True,2021
28,44,60631.0,Male,Chennai,18,IT,18.879402777344445,True,2014
29,61,40103.0,Female,Bangalore,11,HR,41.44083977184951,False,2009
30,42,84772.0,Male,Chennai,6,HR,93.58261334028228,True,2008
31,66,34382.0,Other,Mumbai,8,HR,45.70596592657763,True,2008
32,44,104291.0,Other,Mumbai,5,Support,29.02551053725294,False,2019
33,59,23756.0,Other,Bangalore,16,Marketing,56.193525351966336,False,2000
34,45,40609.0,Other,Pune,15,Finance,11.193457813478924,False,2016
35,33,36478.0,Male,Chennai,10,IT,60.95058910049832,False,2011
36,32,59666.0,Male,Delhi,3,Support,49.60427260165831,False,2009
37,64,95683.0,Female,Bangalore,9,Marketing,79.19930334057096,False,2004
38,68,119097.0,Male,Delhi,4,Support,98.6687611617024,False,2017
39,61,91315.0,Male,Bangalore,9,IT,25.08734717161105,True,2014
40,69,97834.0,Male,Pune,11,Finance,50.96564508037606,True,2005
41,44,34153.0,Female,Mumbai,9,Support,90.88654063190036,False,2006
42,54,96325.0,Male,Pune,12,HR,49.60427260165831,True,2016
43,68,32999.0,Female,Pune,10,Marketing,48.74063031008076,True,2005
44,24,75318.0,Other,Mumbai,15,Support,94.5371649614778,False,2007
45,38,20814.0,Other,Mumbai,7,Marketing,5.723669351680938,True,2011
46,26,96077.0,Male,Chennai,7,HR,93.0998619712584,False,2020
47,56,110474.0,Female,Delhi,7,Finance,5.050739238280655,True,2013
48,35,22443.0,Other,Bangalore,12,Finance,54.73047441146844,False,2011
49,21,95993.0,Female,Bangalore,1,HR,89.04409480010858,True,2022
-1,42,95916.0,Female,Mumbai,11,Marketing,26.27209435613028,True,2009
51,31,93319.0,Male,Bangalore,9,Support,47.224849894515856,True,2021
52,67,37368.0,Other,Mumbai,11,HR,32.43288791369666,False,2019
