id,age,salary,gender,city,experience_years,department,score,is_active,joining_year
1.0,56.0,25408.0,Female,Bangalore,2.0,Finance,65.0833221561485,True,2009.0
2.0,69.0,79379.0,Male,Chennai,18.0,Finance,61.50646298578113,False,2002.0
3.0,46.0,45053.0,Male,Pune,2.0,Marketing,17.56720999559107,True,2022.0
4.0,32.0,29446.0,,Delhi,13.0,Support,51.318989170982974,True,2016.0
5.0,60.0,20922.0,Male,Bangalore,7.0,IT,71.53810171786552,False,2007.0
6.0,25.0,118723.0,Female,Pune,3.0,HR,97.32608830304918,False,2022.0
7.0,38.0,71356.0,Other,Chennai,19.0,IT,20.140630921335223,True,2003.0
8.0,56.0,30789.0,Male,Mumbai,10.0,Marketing,0.9543353067226645,False,2013.0
9.0,36.0,117720.0,Female,Chennai,10.0,Finance,7.530143359846974,False,2020.0
10.0,40.0,86656.0,Other,Delhi,10.0,HR,37.58524651819792,True,2009.0
11.0,28.0,64028.0,Other,,1.0,Marketing,82.05446477459871,,2000.0
12.0,28.0,84484.0,Female,Bangalore,16.0,Marketing,,False,2003.0
13.0,41.0,52154.0,Male,Delhi,8.0,Marketing,45.67305928858403,True,2000.0
14.0,53.0,102870.0,,Pune,1.0,HR,32.92306153413945,False,2016.0
15.0,57.0,22336.0,Other,Pune,14.0,HR,5.248171009972758,,2016.0
16.0,41.0,87779.0,Female,Bangalore,15.0,Support,45.023628667261725,True,2006.0
,20.0,39029.0,Male,Bangalore,3.0,Support,25.474870733671885,True,2022.0
18.0,,79201.0,Other,Mumbai,7.0,IT,35.18848343470064,False,2019.0
19.0,,52265.0,Female,Pune,8.0,HR,70.5615304784293,False,2014.0
,41.0,63872.0,Male,,4.0,,52.15509839109671,False,2012.0
21.0,61.0,66197.0,Other,Pune,15.0,HR,12.464742899281333,False,2001.0
22.0,47.0,75180.0,Male,Mumbai,12.0,Support,96.1414540423639,True,2018.0
23.0,55.0,43710.0,Other,Bangalore,6.0,Marketing,63.59107657097384,False,2023.0
24.0,19.0,49486.0,Female,Bangalore,19.0,Finance,76.58684256625315,True,2012.0
25.0,38.0,91907.0,,Mumbai,16.0,Support,7.921315000837081,True,2023.0
26.0,50.0,91895.0,Other,Delhi,2.0,HR,,False,2010.0
27.0,29.0,84435.0,Male,Bangalore,4.0,Support,1.9448050368081171,True,2021.0
28.0,,60631.0,Male,Chennai,18.0,IT,18.879402777344445,True,2014.0
29.0,61.0,40103.0,Female,Bangalore,11.0,HR,41.44083977184951,False,2009.0
30.0,42.0,84772.0,Male,Chennai,6.0,,93.58261334028228,True,2008.0
31.0,66.0,34382.0,Other,Mumbai,8.0,HR,45.70596592657763,True,2008.0
32.0,44.0,104291.0,Other,Mumbai,5.0,Support,29.02551053725294,False,2019.0
33.0,59.0,23756.0,Other,Bangalore,16.0,Marketing,56.193525351966336,False,2000.0
34.0,45.0,40609.0,Other,Pune,15.0,Finance,11.193457813478924,False,2016.0
35.0,33.0,36478.0,,Chennai,,IT,60.95058910049832,False,2011.0
36.0,32.0,59666.0,Male,Delhi,3.0,Support,,False,2009.0
